"Player","Rk","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","TS%","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Dist.","%2P","%0-3","%3-10","%10-16","%16-3P","%3P","0-3%","3-10%","10-16%","16-3P%","2ast","3ast","%Dunks","#Dunks","%C3","C3%"
"A.J. Green","174","SG","23","MIL","35","1","345","53","125",".424","44","105",".419","9","20",".450",".600","4","4","1.000","6","39","45","22","6","0","9","31","154",".607",".032","1.9","11.3","6.8","8.7","0.8","0.0","6.6","16.6","0.5","0.3","0.8",".111","-0.3","-0.6","-0.9","0.1","23.7",".160",".040",".016",".032",".072",".840",".400",".500",".500",".444",".778",".909",".000","0",".210",".409"
"A.J. Lawson","284","SG","22","TOT","15","0","108","22","44",".500","10","25",".400","12","19",".632",".614","2","8",".250","6","15","21","2","2","0","3","11","56",".589",".182","6.4","16.3","11.3","3.0","0.9","0.0","5.9","21.1","0.1","0.1","0.1",".063","-1.5","-2.9","-4.4","-0.1","14.7",".432",".318",".114",".000",".000",".568",".714",".400","","",".500","1.000",".136","5",".560",".214"
"Aaron Gordon","169","PF","27","DEN","68","68","2055","429","761",".564","60","173",".347","369","588",".628",".603","191","314",".608","164","282","446","203","54","51","98","129","1109",".617",".413","9.4","15.4","12.5","14.2","1.3","2.2","9.8","21.1","4.6","2.2","6.8",".158","2.4","-0.3","2.1","2.1","8.8",".773",".481",".180",".063",".035",".227",".779",".394",".292",".333",".618",".733",".260","178",".312",".259"
"Aaron Holiday","213","PG","26","ATL","63","6","845","92","220",".418","36","88",".409","56","132",".424",".500","27","32",".844","25","49","74","89","37","12","36","79","247",".528",".145","3.2","6.4","4.8","13.0","2.1","1.2","13.3","13.4","0.3","0.6","0.9",".053","-2.9","0.9","-2.0","0.0","14.7",".600",".223",".168",".132",".077",".400",".612",".216",".310",".529",".214",".861",".000","0",".170",".200"
"Aaron Nesmith","358","SF","23","IND","73","60","1816","252","590",".427","115","314",".366","137","276",".496",".525","119","142",".838","62","215","277","98","55","34","75","235","738",".566",".241","3.8","13.1","8.5","7.4","1.4","1.6","10.3","16.8","0.9","1.1","2.0",".052","-2.3","-0.7","-3.0","-0.4","15.5",".468",".249",".136",".063",".020",".532",".639",".263",".486",".333",".701",".965",".042","22",".424",".383"
"Aaron Wiggins","512","SG","24","OKC","70","14","1297","186","363",".512","48","122",".393","138","241",".573",".579","59","71",".831","68","142","210","80","39","15","55","110","479",".607",".196","5.5","12.0","8.7","8.3","1.4","1.1","12.2","14.5","1.4","1.2","2.6",".097","-1.5","-0.5","-2.1","0.0","10.6",".664",".383",".264",".014",".003",".336",".705",".396",".400",".000",".696",".958",".055","18",".459",".286"
"Admiral Schofield","433","PF","25","ORL","37","0","451","55","122",".451","24","74",".324","31","48",".646",".549","21","23",".913","23","39","62","31","8","5","16","61","155",".587",".189","5.8","9.8","7.8","9.6","0.9","1.1","10.8","14.1","0.5","0.3","0.8",".089","-2.2","-0.7","-2.9","-0.1","16.4",".393",".221",".164",".008",".000",".607",".704",".600",".000","",".645",".958",".008","0",".351",".385"
"AJ Griffin","182","SF","19","ATL","72","12","1401","248","533",".465","101","259",".390","147","274",".536",".560","42","47",".894","37","116","153","73","42","12","42","87","639",".577",".088","2.9","9.2","6.0","7.0","1.4","0.7","7.1","17.9","1.3","0.9","2.2",".075","-0.3","-0.5","-0.8","0.4","16.8",".514",".101",".165",".173",".075",".486",".630",".568",".522",".375",".558",".891",".017","9",".293",".408"
"Al Horford","217","C","36","BOS","63","63","1922","228","479",".476","145","325",".446","83","154",".539",".627","15","21",".714","73","317","390","189","30","61","37","121","616",".631",".044","4.2","17.7","11.1","13.2","0.8","2.7","7.0","11.9","3.6","2.7","6.3",".157","1.6","1.7","3.3","2.5","18.8",".322",".140",".123",".038",".021",".678",".672",".525",".278",".200",".675",".993",".023","11",".378",".488"
"Alec Burks","72","SG","31","DET","51","8","1122","200","459",".436","99","239",".414","101","220",".459",".544","153","188",".814","19","139","158","114","38","8","58","98","652",".602",".410","1.8","14.2","7.8","15.9","1.6","0.6","9.7","22.8","1.9","0.6","2.5",".109","1.8","-0.5","1.2","0.9","17.7",".479",".087",".144",".122",".120",".521",".650",".409",".464",".400",".307",".657",".002","1",".213",".490"
