Player,Pos,Age,Tm,G,GS,MP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,eFG%,FTM,FTA,FT%,ORB,DRB,TRB,AST_x,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,OnCourt,On-Off,BadPass,LostBall,SFC,OFC,SFD,OFD,PGA,And1,Blkd,Dist,%2P,%0-3,%3-10,%10-16,%16-3P,%3P,0-3%,3-10%,10-16%,16-3P%,%2PA,%3PA,%FGAD,#D,%C3PA,C3P%,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,PASSES_MADE,PASSES_RECEIVED,AST_y,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,OREB_CHANCES,DREB_CHANCES,REB_CHANCES,REB_CHANCE_PCT,POST_TOUCHES,POST_TOUCH_PTS,ISO_PTS,ISO_POSS_PCT,ISO_PPP,ISO_POSS,PRB_PTS,PRB_POSS_PCT,PRB_PPP,PRB_POSS,PRR_PTS,PRR_POSS_PCT,PRR_PPP,PRR_POSS,SU_PTS,SU_POSS_PCT,SU_PPP,SU_POSS,CUT_PTS,CUT_POSS_PCT,CUT_PPP,CUT_POSS,D_FGA,D_FG_PCT,PCT_PLUSMINUS,AST_PCT,PACE,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_PAINT
Precious Achiuwa,PF-C,24.0,TOT,74.0,18.0,21.9,3.2,6.3,0.501,0.4,1.3,0.268,2.8,5.0,0.562,0.529,0.9,1.5,0.616,2.6,4.0,6.6,1.3,0.6,0.9,1.1,1.9,7.6,114.0,112.0,14.6,0.545,0.207,0.239,13.0,20.5,16.7,8.4,1.4,3.9,13.8,15.9,0.016216216216216217,0.02972972972972973,0.04594594594594594,0.102,-1.7,0.3,-1.4,0.2,-0.7,-3.5,0.4594594594594595,0.3108108108108108,1.1756756756756757,0.17567567567567569,0.7297297297297297,0.05405405405405406,3.1621621621621623,0.13513513513513514,0.527027027027027,7.6,0.793,0.52,0.215,0.047,0.011,0.207,0.697,0.317,0.273,0.2,0.593,0.962,0.145,0.8378378378378378,0.474,0.304,7.32,5.2,2.12,1.28,0.04,1.51,3.47,0.43,0.2,0.64,0.681,0.319,0.59,0.77,1.36,1.27,0.91,0.436,0.564,0.979,0.698,24.3,18.5,1.3,0.1,0.2,2.0,3.4,1.6,0.054,0.065,5.7,6.6,11.9,0.568,0.1,0.1,0.5,0.059,0.923,0.5,0.0,0.0,0.0,0.0,1.2,0.1253783783783784,1.1410405405405406,1.0675675675675675,1.6013513513513513,0.2612972972972973,0.7396486486486485,2.133783783783784,1.2,0.146,0.969,1.3,11.81,0.475,-0.011,0.088,96.4,0.74,0.138,0.729
Bam Adebayo,C,26.0,MIA,71.0,71.0,34.0,7.5,14.3,0.521,0.2,0.6,0.357,7.3,13.7,0.528,0.529,4.1,5.5,0.755,2.2,8.1,10.4,3.9,1.1,0.9,2.3,2.2,19.3,115.0,109.0,19.8,0.576,0.041,0.381,7.4,27.3,17.3,18.9,1.7,2.7,12.0,24.9,0.04084507042253521,0.060563380281690136,0.10140845070422536,0.144,0.8,1.7,2.4,2.7,0.8,-3.1,0.8873239436619719,0.6197183098591549,1.1408450704225352,0.4507042253521127,2.5211267605633805,0.08450704225352113,9.549295774647888,0.49295774647887325,0.647887323943662,8.5,0.959,0.245,0.367,0.278,0.069,0.041,0.727,0.515,0.406,0.386,0.573,1.0,0.148,1.8873239436619718,0.167,0.429,6.7,4.45,2.25,2.21,0.03,3.44,8.07,0.46,0.42,0.89,0.524,0.476,0.31,2.79,3.1,2.87,1.44,0.1,0.9,0.976,0.488,42.6,41.9,3.9,0.3,0.4,6.4,10.0,4.5,0.092,0.107,4.7,12.3,16.6,0.626,4.0,2.5,2.0,0.105,0.986,2.0,0.3,0.014,0.947,0.3,3.6,0.183,1.036,3.5,1.1,0.055,1.053,1.1,3.1,0.14,1.175,2.7,13.97,0.441,-0.05,0.193,97.43,0.753,0.033,0.658
Ochai Agbaji,SG,23.0,TOT,78.0,28.0,21.0,2.3,5.6,0.411,0.8,2.7,0.294,1.5,2.8,0.523,0.483,0.5,0.7,0.661,0.9,1.8,2.8,1.1,0.6,0.6,0.8,1.5,5.8,102.0,121.0,7.7,0.497,0.487,0.129,4.9,9.6,7.2,6.6,1.4,2.4,12.3,13.4,-0.00641025641025641,0.007692307692307692,0.001282051282051282,0.002,-3.5,-0.9,-4.4,-1.0,-6.8,-1.6,0.32051282051282054,0.23076923076923078,0.782051282051282,0.14102564102564102,0.38461538461538464,0.038461538461538464,2.576923076923077,0.16666666666666666,0.5256410256410257,14.0,0.513,0.289,0.176,0.037,0.012,0.487,0.664,0.329,0.438,0.2,0.75,0.984,0.085,0.3974358974358974,0.455,0.365,4.23,2.45,1.78,0.99,0.0,0.37,0.88,0.13,0.15,0.28,0.455,0.545,0.01,0.32,0.33,0.33,0.15,0.038,0.962,1.0,0.462,16.2,14.1,1.1,0.1,0.2,2.2,2.7,1.3,0.066,0.082,2.2,3.8,5.9,0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9615384615384615,0.35203846153846147,0.8553076923076923,2.3384615384615386,0.7884615384615384,0.09507692307692309,0.9722692307692307,0.75,9.29,0.436,-0.029,0.068,101.56,0.51,0.409,0.484
Santi Aldama,PF,23.0,MEM,61.0,35.0,26.5,4.0,9.3,0.435,1.7,5.0,0.349,2.3,4.3,0.534,0.528,0.9,1.4,0.621,1.2,4.6,5.8,2.3,0.7,0.9,1.1,1.5,10.7,109.0,114.0,13.1,0.539,0.535,0.153,4.7,19.7,11.9,13.3,1.3,3.1,10.2,17.9,0.006557377049180328,0.03278688524590164,0.039344262295081964,0.07,-0.7,0.4,-0.2,0.7,-8.9,-2.7,0.5737704918032787,0.29508196721311475,0.8524590163934426,0.08196721311475409,0.6721311475409836,0.04918032786885246,5.60655737704918,0.26229508196721313,0.4262295081967213,15.8,0.465,0.211,0.188,0.049,0.016,0.535,0.692,0.411,0.393,0.333,0.674,0.962,0.067,0.5573770491803278,0.296,0.3,5.7,3.57,2.13,1.23,0.02,0.84,2.08,0.25,0.21,0.46,0.536,0.464,0.13,0.66,0.79,0.79,0.49,0.167,0.833,1.0,0.625,32.3,28.3,2.3,0.2,0.3,4.2,6.0,2.8,0.07,0.086,2.7,7.2,9.3,0.633,0.1,0.0,0.2,0.028,0.632,0.3,0.4,0.04,0.852,0.4,1.0,0.069,1.261,0.8,4.9,0.444,1.01,4.9,1.0,0.076,1.137,0.8,12.33,0.473,-0.006,0.134,98.41,0.431,0.486,0.407
Nickeil Alexander-Walker,SG,25.0,MIN,82.0,20.0,23.4,2.9,6.6,0.439,1.6,4.1,0.391,1.3,2.5,0.517,0.56,0.6,0.8,0.8,0.4,1.6,2.0,2.5,0.8,0.5,0.9,1.7,8.0,115.0,111.0,10.9,0.578,0.623,0.121,2.2,7.5,4.9,14.5,1.6,1.9,11.8,14.8,0.018292682926829267,0.03414634146341463,0.0524390243902439,0.107,-1.1,1.3,0.2,1.1,8.7,4.3,0.6219512195121951,0.1951219512195122,0.975609756097561,0.04878048780487805,0.2926829268292683,0.35365853658536583,6.048780487804878,0.04878048780487805,0.35365853658536583,17.7,0.377,0.149,0.145,0.046,0.037,0.623,0.65,0.449,0.44,0.35,0.581,0.977,0.02,0.10975609756097561,0.469,0.452,2.93,2.1,0.83,1.91,0.06,0.23,0.6,0.23,0.26,0.49,0.475,0.525,0.04,0.43,0.46,0.41,0.1,0.079,0.921,0.944,0.222,30.2,29.8,2.5,0.3,0.3,3.8,6.6,3.1,0.082,0.102,1.5,3.9,5.3,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.164,0.632,1.3,0.0,0.0,0.0,0.0,4.5,0.487,1.185,3.8,0.3,0.02,1.692,0.2,9.1,0.434,-0.028,0.145,99.98,0.321,0.6,0.278
Grayson Allen,SG,28.0,PHO,75.0,74.0,33.5,4.5,9.1,0.499,2.7,5.9,0.461,1.8,3.2,0.57,0.649,1.7,2.0,0.878,0.6,3.3,3.9,3.0,0.9,0.6,1.3,2.1,13.5,130.0,117.0,13.8,0.679,0.652,0.216,2.3,10.6,6.6,12.1,1.3,1.6,11.3,14.5,0.06266666666666666,0.029333333333333336,0.092,0.132,1.1,0.1,1.3,2.0,4.8,4.3,0.7466666666666667,0.21333333333333335,1.0,0.10666666666666667,0.84,0.25333333333333335,7.28,0.2,0.3466666666666667,18.2,0.348,0.192,0.13,0.023,0.001,0.652,0.687,0.438,0.375,0.0,0.57,0.912,0.031,0.22666666666666666,0.294,0.473,5.21,2.88,2.33,2.11,0.01,0.69,1.52,0.35,0.45,0.8,0.433,0.567,0.0,0.36,0.36,0.33,0.13,0.0,1.0,0.962,0.385,36.5,32.7,3.0,0.3,0.6,5.2,7.6,3.8,0.083,0.105,1.7,6.0,7.5,0.528,0.0,0.0,0.3,0.019,1.375,0.2,0.9,0.066,1.185,0.7,0.6,0.042,1.171,0.5,6.8,0.5,1.221,5.6,0.4,0.024,1.4,0.3,15.36,0.457,-0.013,0.117,99.96,0.266,0.607,0.262
Jarrett Allen,C,25.0,CLE,77.0,77.0,31.7,6.7,10.6,0.634,0.0,0.1,0.0,6.7,10.6,0.638,0.634,3.0,4.1,0.742,3.2,7.4,10.5,2.7,0.7,1.1,1.6,1.9,16.5,131.0,110.0,21.8,0.664,0.007,0.383,11.3,25.8,18.7,13.2,1.1,3.0,11.2,19.4,0.08831168831168831,0.050649350649350645,0.13896103896103895,0.21,2.1,0.9,3.0,3.1,5.0,6.1,0.8701298701298701,0.36363636363636365,1.12987012987013,0.2727272727272727,1.844155844155844,0.19480519480519481,6.48051948051948,0.4025974025974026,0.974025974025974,4.2,0.993,0.554,0.338,0.081,0.02,0.007,0.738,0.531,0.5,0.25,0.823,0.0,0.243,2.207792207792208,0.333,0.0,9.58,7.56,2.03,1.61,0.0,4.05,9.65,0.47,0.23,0.7,0.667,0.333,0.27,1.74,2.01,1.92,1.14,0.135,0.865,0.974,0.579,34.8,31.5,2.7,0.2,0.2,4.4,6.9,3.1,0.078,0.089,6.3,11.6,17.4,0.604,0.7,0.3,0.3,0.019,1.048,0.3,0.0,0.0,0.0,0.0,4.4,0.245,1.271,3.5,0.4,0.043,0.66,0.6,6.3,0.337,1.321,4.7,16.82,0.488,-0.012,0.128,98.66,0.817,0.0,0.776
Timmy Allen,SF,24.0,MEM,5.0,0.0,25.0,1.2,4.6,0.261,0.0,1.4,0.0,1.2,3.2,0.375,0.261,0.2,0.4,0.5,0.8,2.6,3.4,1.0,0.8,0.0,0.4,3.6,2.6,73.0,117.0,0.8,0.272,0.304,0.087,3.4,11.8,7.4,5.4,1.6,0.0,7.7,8.9,-0.04,0.02,-0.02,-0.041,-10.3,-0.7,-11.1,-0.3,-24.0,-17.3,0.2,0.0,2.6,0.0,0.2,0.4,2.6,0.0,0.2,14.6,0.696,0.13,0.174,0.261,0.13,0.304,0.333,0.5,0.333,0.333,0.333,0.0,0.0,0.0,0.714,0.0,2.2,0.2,2.0,1.2,0.0,0.0,0.0,0.6,0.0,0.6,1.0,0.0,0.0,0.8,0.8,0.8,0.0,0.0,1.0,1.0,0.0,21.0,14.0,1.0,0.2,0.0,2.6,2.8,1.2,0.048,0.057,1.8,4.2,6.0,0.567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.516,0.058,0.06,99.48,0.923,0.0,0.615
Jose Alvarado,PG,25.0,NOP,56.0,0.0,18.4,2.5,6.2,0.412,1.4,3.7,0.377,1.1,2.5,0.464,0.525,0.6,0.9,0.673,0.4,1.8,2.3,2.1,1.1,0.3,0.7,1.6,7.1,112.0,112.0,12.5,0.54,0.6,0.151,2.7,11.0,6.9,15.3,2.8,1.4,9.8,17.3,0.010714285714285714,0.026785714285714284,0.0375,0.097,-1.5,1.5,-0.1,0.5,12.3,10.4,0.44642857142857145,0.17857142857142858,0.48214285714285715,0.017857142857142856,0.3392857142857143,0.21428571428571427,4.910714285714286,0.017857142857142856,0.39285714285714285,17.7,0.4,0.136,0.188,0.067,0.009,0.6,0.617,0.415,0.304,0.333,0.578,0.885,0.0,0.0,0.28,0.483,1.2,0.39,0.8,2.11,0.02,0.16,0.38,0.25,0.3,0.55,0.452,0.548,0.0,0.36,0.36,0.34,0.09,0.0,1.0,0.95,0.25,26.7,27.9,2.1,0.3,0.2,3.2,5.3,2.5,0.077,0.095,1.2,3.6,4.7,0.543,0.0,0.0,0.2,0.025,1.3,0.2,0.7,0.176,0.549,1.3,0.0,0.0,0.0,0.0,3.6,0.412,1.181,3.0,0.3,0.032,1.231,0.2,6.62,0.44,-0.026,0.154,100.12,0.322,0.589,0.302
Kyle Anderson,PF,30.0,MIN,79.0,10.0,22.6,2.5,5.5,0.46,0.1,0.6,0.229,2.4,4.9,0.488,0.472,1.2,1.7,0.708,0.8,2.7,3.5,4.2,0.9,0.6,1.2,1.6,6.4,114.0,109.0,12.7,0.513,0.111,0.316,4.0,13.0,8.7,25.0,2.0,2.3,15.6,14.5,0.01772151898734177,0.039240506329113925,0.056962025316455694,0.121,-1.6,2.7,1.1,1.4,5.6,-1.7,0.7215189873417721,0.25316455696202533,0.7215189873417721,0.0759493670886076,0.8227848101265823,0.08860759493670886,9.886075949367088,0.13924050632911392,0.25316455696202533,9.0,0.889,0.192,0.48,0.189,0.028,0.111,0.627,0.438,0.476,0.5,0.511,1.0,0.025,0.12658227848101267,0.688,0.303,3.61,2.01,1.59,2.0,0.0,0.75,1.78,0.15,0.14,0.29,0.522,0.478,0.06,0.3,0.37,0.35,0.15,0.172,0.828,0.966,0.414,31.4,28.9,4.2,0.4,0.3,6.3,10.6,4.9,0.134,0.155,1.7,4.8,6.2,0.581,0.2,0.2,0.5,0.085,0.82,0.6,1.1,0.202,0.706,1.5,0.4,0.044,1.269,0.3,1.5,0.247,0.821,1.8,0.9,0.095,1.232,0.7,8.84,0.454,-0.019,0.264,99.95,0.743,0.065,0.668
Giannis Antetokounmpo,PF,29.0,MIL,73.0,73.0,35.2,11.5,18.8,0.611,0.5,1.7,0.274,11.0,17.1,0.645,0.624,7.0,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,126.0,112.0,29.9,0.649,0.091,0.571,8.6,27.0,17.9,32.7,1.6,2.6,12.7,33.0,0.13013698630136986,0.050684931506849315,0.18082191780821916,0.246,6.7,2.4,9.0,7.2,6.2,10.0,1.0273972602739727,0.9863013698630136,1.1369863013698631,0.6164383561643836,5.164383561643835,0.0958904109589041,17.013698630136986,1.4383561643835616,1.2328767123287672,6.7,0.909,0.519,0.251,0.068,0.072,0.091,0.818,0.452,0.323,0.374,0.509,0.5,0.193,3.4383561643835616,0.024,0.0,6.47,3.6,2.86,2.18,0.01,2.05,4.99,0.51,0.34,0.85,0.597,0.403,0.45,0.51,0.96,0.9,0.68,0.471,0.529,0.943,0.714,50.1,54.6,6.5,0.4,0.9,12.9,17.9,7.8,0.13,0.155,5.4,12.6,17.6,0.654,2.8,1.5,3.3,0.126,0.979,3.4,3.8,0.121,1.154,3.3,2.4,0.072,1.229,1.9,0.0,0.0,0.0,0.0,3.8,0.096,1.489,2.6,12.48,0.462,-0.021,0.314,102.1,0.723,0.046,0.668
