"","","","","","","","","","","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","","% of FG Ast'd","% of FG Ast'd","","Dunks","Dunks","","Corner 3s","Corner 3s","","Heaves","Heaves"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"1","Precious Achiuwa","C","23","TOR","55","1140",".485","9.7",NA,".733",".381",".262",".069",".012",".267",NA,".564",".734",".406",".286",".200",".269",NA,".623",".966",NA,".141","49",NA,".444",".250",NA,"1","0"
"2","Steven Adams","C","29","MEM","42","1133",".597","2.6",NA,".996",".696",".281",".019",".000",".004",NA,".599",".645",".500",".400","",".000",NA,".503","",NA,".163","41",NA,"1.000",".000",NA,"0","0"
"3","Bam Adebayo","C","25","MIA","75","2598",".540","7.3",NA,".989",".295",".379",".260",".047",".011",NA,".545",".714",".479",".497",".288",".083",NA,".594","1.000",NA,".136","139",NA,".000","",NA,"1","0"
"4","Ochai Agbaji","SG","22","UTA","59","1209",".427","16.9",NA,".409",".150",".210",".026",".023",".591",NA,".532",".621",".494",".400",".444",".355",NA,".762",".988",NA,".054","17",NA,".412",".457",NA,"0","0"
"5","Santi Aldama","PF","22","MEM","77","1682",".470","14.6",NA,".493",".280",".166",".030",".017",".507",NA,".591",".707",".471",".250",".444",".353",NA,".680",".968",NA,".118","54",NA,".391",".365",NA,"1","0"
"6","Nickeil Alexander-Walker","SG","24","TOT","59","884",".444","16.9",NA,".461",".139",".207",".044",".071",".539",NA,".515",".634",".443",".385",".571",".384",NA,".329",".803",NA,".010","2",NA,".277",".386",NA,"2","0"
"6","Nickeil Alexander-Walker","SG","24","UTA","36","528",".488","16.5",NA,".488",".118",".247",".059",".065",".512",NA,".578",".650",".524",".400",".818",".402",NA,".313",".714",NA,".006","1",NA,".241",".381",NA,"1","0"
"6","Nickeil Alexander-Walker","SG","24","MIN","23","356",".384","17.4",NA,".424",".168",".152",".024",".080",".576",NA,".415",".619",".263",".333",".300",".361",NA,".364",".923",NA,".016","1",NA,".319",".391",NA,"1","0"
"7","Grayson Allen","SG","27","MIL","72","1972",".440","18.7",NA,".343",".180",".104",".054",".005",".657",NA,".518",".670",".345",".400",".000",".399",NA,".606",".884",NA,".027","12",NA,".213",".474",NA,"0","0"
"8","Jarrett Allen","C","24","CLE","68","2220",".644","4.4",NA,".984",".570",".304",".075",".027",".016",NA,".653",".765",".516",".511",".294",".100",NA,".769","1.000",NA,".316","177",NA,".600",".000",NA,"0","0"
"9","Jose Alvarado","PG","24","NOP","61","1310",".411","15.6",NA,".495",".186",".243",".051",".014",".505",NA,".488",".670",".395",".360",".143",".336",NA,".381",".940",NA,".000","0",NA,".287",".380",NA,"3","0"
"10","Kyle Anderson","PF","29","MIN","69","1957",".509","9.9",NA,".788",".246",".426",".087",".028",".212",NA,".536",".648",".512",".465",".143",".410",NA,".512",".930",NA,".020","10",NA,".448",".468",NA,"1","0"
"11","Giannis Antetokounmpo","PF","28","MIL","63","2024",".553","8.1",NA,".866",".480",".212",".091",".084",".134",NA,".596",".791",".354",".353",".355",".275",NA,".415",".617",NA,".166","198",NA,".023",".250",NA,"0","0"
"12","Thanasis Antetokounmpo","PF","30","MIL","37","206",".435","7.7",NA,".826",".478",".304",".022",".022",".174",NA,".526",".682",".357",".000",".000",".000",NA,".650","",NA,".130","6",NA,".375",".000",NA,"1","0"
"13","Cole Anthony","PG","22","ORL","60","1552",".454","14.7",NA,".662",".143",".249",".151",".120",".338",NA,".500",".632",".447",".522",".425",".364",NA,".248",".733",NA,".023","11",NA,".083",".353",NA,"0","0"
"14","OG Anunoby","SF","25","TOR","67","2386",".476","13.5",NA,".585",".293",".173",".062",".056",".415",NA,".539",".695",".366",".364",".460",".387",NA,".566",".937",NA,".130","103",NA,".392",".458",NA,"1","0"
"15","Ryan Arcidiacono","PG","28","TOT","20","172",".243","20.2",NA,".378",".027",".189",".108",".054",".622",NA,".071",".000",".143",".000",".000",".348",NA,"1.000",".875",NA,".000","0",NA,".043",".000",NA,"0","0"
"15","Ryan Arcidiacono","PG","28","NYK","11","26",".200","16.9",NA,".400",".200",".200",".000",".000",".600",NA,".000",".000",".000","","",".333",NA,"","1.000",NA,".000","0",NA,".333",".000",NA,"0","0"
"15","Ryan Arcidiacono","PG","28","POR","9","146",".250","20.7",NA,".375",".000",".188",".125",".063",".625",NA,".083","",".167",".000",".000",".350",NA,"1.000",".857",NA,".000","0",NA,".000","",NA,"0","0"
"16","Deni Avdija","SF","22","WAS","76","2020",".437","13.3",NA,".599",".278",".263",".038",".021",".401",NA,".530",".714",".395",".227",".333",".297",NA,".538",".942",NA,".057","29",NA,".241",".339",NA,"1","0"
"17","Deandre Ayton","C","24","PHO","67","2035",".589","7.7",NA,".973",".313",".352",".223",".085",".027",NA,".597",".806",".532",".455",".467",".292",NA,".792",".857",NA,".131","110",NA,".000","",NA,"0","0"
"18","Udoka Azubuike","C","23","UTA","36","359",".819","2.7",NA,"1.000",".625",".375",".000",".000",".000",NA,".819",".956",".593","","","",NA,".864","",NA,".625","42",NA,"","",NA,"0","0"
"19","Marvin Bagley III","C","23","DET","42","990",".529","8.8",NA,".827",".296",".366",".110",".029",".173",NA,".579",".779",".479",".452",".364",".288",NA,".612",".947",NA,".071","27",NA,".288",".316",NA,"1","0"
"20","Patrick Baldwin Jr.","SF","20","GSW","31","226",".394","21.4",NA,".229",".073",".083",".055",".018",".771",NA,".440",".875",".333",".000",".500",".381",NA,".818","1.000",NA,".037","3",NA,".214",".278",NA,"0","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"21","LaMelo Ball","PG","21","CHO","36","1268",".411","17.7",NA,".469",".169",".162",".085",".053",".531",NA,".450",".598",".316",".443",".395",".376",NA,".250",".653",NA,".004","3",NA,".136",".385",NA,"2","0"
"22","Mo Bamba","C","24","TOT","49","769",".485","15.1",NA,".485",".320",".104",".033",".029",".515",NA,".590",".740",".240",".500",".286",".387",NA,".754","1.000",NA,".178","36",NA,".113",".357",NA,"0","0"
"22","Mo Bamba","C","24","ORL","40","681",".495","14.9",NA,".495",".322",".103",".037",".033",".505",NA,".594",".739",".273",".500",".286",".398",NA,".762","1.000",NA,".187","33",NA,".120",".385",NA,"0","0"
"22","Mo Bamba","C","24","LAL","9","88",".407","16.1",NA,".407",".296",".111",".000",".000",".593",NA,".545",".750",".000","","",".313",NA,".667","1.000",NA,".111","3",NA,".063",".000",NA,"0","0"
"23","Paolo Banchero","PF","20","ORL","72","2430",".427","12.4",NA,".746",".242",".253",".124",".127",".254",NA,".471",".658",".380",".410",".352",".298",NA,".404",".706",NA,".054","52",NA,".123",".343",NA,"1","0"
"24","Desmond Bane","SG","24","MEM","58","1841",".479","14.8",NA,".567",".229",".210",".071",".056",".433",NA,".534",".642",".447",".478",".491",".408",NA,".521",".729",NA,".007","6",NA,".150",".508",NA,"2","0"
"25","Dalano Banton","PG","23","TOR","31","279",".423","14.3",NA,".608",".277",".177",".077",".077",".392",NA,".506",".806",".348",".200",".100",".294",NA,".575",".867",NA,".062","8",NA,".235",".250",NA,"1","0"
"26","Dominick Barlow","PF","19","SAS","28","408",".535","5.5",NA,".953",".523",".256",".140",".035",".047",NA,".561",".711",".409",".250",".667",".000",NA,".739","",NA,".151","12",NA,".750",".000",NA,"0","0"
"27","Harrison Barnes","PF","30","SAC","82","2662",".473","13.6",NA,".554",".255",".230",".053",".008",".446",NA,".553",".713",".407",".429",".333",".374",NA,".570",".924",NA,".062","46",NA,".365",".395",NA,"2","0"
"28","Scottie Barnes","SF","21","TOR","77","2678",".456","10.7",NA,".780",".275",".317",".096",".082",".220",NA,".505",".685",".450",".296",".361",".281",NA,".485",".841",NA,".086","82",NA,".339",".316",NA,"4","0"
"29","RJ Barrett","SG","22","NYK","73","2475",".434","11.5",NA,".668",".299",".287",".060",".023",".332",NA,".495",".642",".401",".300",".259",".310",NA,".424",".926",NA,".029","29",NA,".290",".319",NA,"0","0"
